[2025-04-14 16:15:49] Modification de la ressource ID=54 : Nom='illu', Type='logiciel', État='active', Fournisseur='adob', Localisation='tuni', Quantité=0
[2025-04-14 16:16:02] Modification de la ressource ID=54 : Nom='illu', Type='logiciel', État='inactive', Fournisseur='adob', Localisation='tuni', Quantité=0
[2025-04-14 17:00:02] Modification de la ressource ID=54 : Nom='illu', Type='logiciel', État='active', Fournisseur='adob', Localisation='tuni', Quantité=0
[2025-04-14 17:00:16] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='inactive', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 17:08:27] Modification de la ressource ID=54 : Nom='illu', Type='logiciel', État='inactive', Fournisseur='adob', Localisation='tuni', Quantité=0
[2025-04-14 17:10:00] Modification de la ressource ID=60 : Nom='qa', Type='materiel', État='disponible', Fournisseur='fa', Localisation='dae', Quantité=20
[2025-04-14 17:12:42] Modification de la ressource ID=60 : Nom='qa', Type='materiel', État='disponible', Fournisseur='fa', Localisation='dae', Quantité=10
[2025-04-14 17:17:23] Modification de la ressource ID=63 : Nom='testALE', Type='materiel', État='disponible', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 17:17:32] Modification de la ressource ID=63 : Nom='testALE', Type='materiel', État='indisponible', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 17:19:11] Modification de la ressource ID=60 : Nom='qa', Type='materiel', État='disponible', Fournisseur='fa', Localisation='dae', Quantité=0
[2025-04-14 17:24:31] Modification de la ressource ID=60 : Nom='qa', Type='materiel', État='disponible', Fournisseur='fa', Localisation='dae', Quantité=1
[2025-04-14 17:24:47] Modification de la ressource ID=54 : Nom='illu', Type='logiciel', État='inactive', Fournisseur='adob', Localisation='tuni', Quantité=0
[2025-04-14 17:25:16] Modification de la ressource ID=61 : Nom='df', Type='materiel', État='disponible', Fournisseur='dtfg', Localisation='fgh', Quantité=250
[2025-04-14 17:25:23] Modification de la ressource ID=61 : Nom='df', Type='materiel', État='disponible', Fournisseur='dtfg', Localisation='fgh', Quantité=250
[2025-04-14 17:28:07] Modification de la ressource ID=61 : Nom='df', Type='materiel', État='disponible', Fournisseur='dtfg', Localisation='fgh', Quantité=250
[2025-04-14 17:28:37] Modification de la ressource ID=61 : Nom='dfdf', Type='materiel', État='disponible', Fournisseur='dtfg', Localisation='fgh', Quantité=1
[2025-04-14 17:32:33] Modification de la ressource ID=54 : Nom='illu', Type='logiciel', État='inactive', Fournisseur='adob', Localisation='tuni', Quantité=0
[2025-04-14 17:33:08] Modification de la ressource ID=61 : Nom='dfdf', Type='materiel', État='indisponible', Fournisseur='dtfg', Localisation='fgh', Quantité=0
[2025-04-14 17:38:07] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='inactive', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 17:42:53] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='inactive', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 17:50:50] Modification de la ressource ID=61 : Nom='dfdf', Type='materiel', État='indisponible', Fournisseur='dtfg', Localisation='fgh', Quantité=0
[2025-04-14 17:52:27] Modification de la ressource ID=63 : Nom='testALE', Type='materiel', État='indisponible', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 18:06:24] Modification de la ressource ID=54 : Nom='illu', Type='logiciel', État='active', Fournisseur='adob', Localisation='tuni', Quantité=0
[2025-04-14 18:06:40] Modification de la ressource ID=61 : Nom='dfdf', Type='logiciel', État='active', Fournisseur='dtfg', Localisation='fgh', Quantité=0
[2025-04-14 18:08:09] Modification de la ressource ID=63 : Nom='testALE', Type='materiel', État='disponible', Fournisseur='gafsi', Localisation='da', Quantité=1
[2025-04-14 18:08:17] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='active', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 18:08:30] Modification de la ressource ID=63 : Nom='testALE', Type='materiel', État='disponible', Fournisseur='gafsi', Localisation='da', Quantité=6
[2025-04-14 18:12:33] Modification de la ressource ID=61 : Nom='dfdf', Type='logiciel', État='inactive', Fournisseur='dtfg', Localisation='fgh', Quantité=0
[2025-04-14 18:12:39] Modification de la ressource ID=61 : Nom='dfdf', Type='logiciel', État='active', Fournisseur='dtfg', Localisation='fgh', Quantité=0
[2025-04-14 18:13:24] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='active', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 18:14:34] Modification de la ressource ID=63 : Nom='testALE', Type='materiel', État='indisponible', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 18:20:08] Modification de la ressource ID=61 : Nom='dfdf', Type='logiciel', État='inactive', Fournisseur='dtfg', Localisation='fgh', Quantité=0
[2025-04-14 18:21:12] Modification de la ressource ID=61 : Nom='dfdf', Type='logiciel', État='active', Fournisseur='dtfg', Localisation='fgh', Quantité=0
[2025-04-14 19:53:36] Suppression de la ressource avec ID=61
[2025-04-14 19:53:50] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='inactive', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 20:05:48] Modification de la ressource ID=64 : Nom='test', Type='logiciel', État='inactive', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 20:05:57] Modification de la ressource ID=64 : Nom='test', Type='logiciel', État='active', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 20:09:26] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='inactive', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 20:11:51] Modification de la ressource ID=64 : Nom='test', Type='logiciel', État='inactive', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 20:15:43] Modification de la ressource ID=57 : Nom='photoshop', Type='logiciel', État='inactive', Fournisseur='adobe', Localisation='tunis', Quantité=0
[2025-04-14 20:16:59] Modification de la ressource ID=64 : Nom='test', Type='logiciel', État='active', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 20:20:58] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='active', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 20:21:09] Modification de la ressource ID=52 : Nom='tezpo', Type='materiel', État='indisponible', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 21:07:49] Modification de la ressource ID=64 : Nom='test', Type='logiciel', État='inactive', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 21:08:07] Modification de la ressource ID=52 : Nom='tezpo', Type='materiel', État='indisponible', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 21:09:26] Modification de la ressource ID=54 : Nom='illu', Type='logiciel', État='inactive', Fournisseur='adob', Localisation='tuni', Quantité=0
[2025-04-14 21:10:30] Modification de la ressource ID=64 : Nom='test', Type='materiel', État='indisponible', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 21:10:45] Modification de la ressource ID=60 : Nom='qa', Type='logiciel', État='inactive', Fournisseur='fa', Localisation='dae', Quantité=0
[2025-04-14 21:12:31] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='inactive', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 21:12:42] Modification de la ressource ID=57 : Nom='photoshop', Type='materiel', État='indisponible', Fournisseur='adobe', Localisation='tunis', Quantité=0
[2025-04-14 21:13:46] Modification de la ressource ID=63 : Nom='testALE', Type='logiciel', État='inactive', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 22:28:38] Modification de la ressource ID=52 : Nom='tezpo', Type='logiciel', État='active', Fournisseur='hamama', Localisation='tunis', Quantité=0
[2025-04-14 22:28:47] Modification de la ressource ID=54 : Nom='illu', Type='logiciel', État='active', Fournisseur='adob', Localisation='tuni', Quantité=0
[2025-04-14 22:28:52] Modification de la ressource ID=63 : Nom='testALE', Type='logiciel', État='active', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 22:29:06] Modification de la ressource ID=64 : Nom='test', Type='logiciel', État='inactive', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 22:29:33] Modification de la ressource ID=64 : Nom='test', Type='logiciel', État='active', Fournisseur='gafsi', Localisation='da', Quantité=0
[2025-04-14 22:29:39] Modification de la ressource ID=57 : Nom='photoshop', Type='materiel', État='disponible', Fournisseur='adobe', Localisation='tunis', Quantité=1
[2025-04-14 22:29:48] Modification de la ressource ID=60 : Nom='qa', Type='logiciel', État='active', Fournisseur='fa', Localisation='dae', Quantité=0
[2025-04-14 22:30:22] Ajout de la ressource : Nom='testa', Type='logiciel', État='active', Fournisseur='teza', Localisation='tunis', Quantité=0
[2025-04-14 22:30:43] Ajout de la ressource : Nom='testo', Type='logiciel', État='active', Fournisseur='teza', Localisation='tunis', Quantité=0
[2025-04-14 22:31:56] Suppression de la ressource avec ID=68
[2025-04-14 22:32:03] Suppression de la ressource avec ID=66
[2025-04-14 22:32:30] Ajout de la ressource : Nom='zara', Type='logiciel', État='active', Fournisseur='rea', Localisation='tunis', Quantité=0
[2025-04-14 22:32:46] Modification de la ressource ID=63 : Nom='testALE', Type='materiel', État='disponible', Fournisseur='gafsi', Localisation='da', Quantité=400
